tag,blog_name,post_url,num_likes,tags,num_replies,num_reblogs,content
anor3×14,skinnydiariesxo,https://www.tumblr.com/blog/view/skinnydiariesxo/712215123846135808,7499,"['tw ana shit', 'tw ana related', 'ana stuff', 'anarules', 'anarec1a', 'ana trigger', 'anatips', 'tw ana diet', 'anorex14', 'anor3×14', '4ana', '4n4rexia', '4n4t1ps']",0,8,"marshmallowcupcakee:Me: skip the dinner, wake up thinner Also me: binges for dinner~Why I’m fat"
anor3×14,skinnydiariesxo,https://www.tumblr.com/blog/view/skinnydiariesxo/710258768280190976,309,"['anor3×14', 'anorex14', 'tw ana shit', 'tw disordered eating', 'ed but not sheeran', '4n4rexia', 'tw ana related', 'ana stuff']",0,9,"memesforstarvingbitches:
I literally hate math sm until it comes to counting calories 😂"
anor3×14,skinnydiariesxo,https://www.tumblr.com/blog/view/skinnydiariesxo/710258571133255680,248,"['tw ana shit', 'tw ed diet', 'ed not ed sheeran', 'anorex14', 'ana stuff', 'tw ana related', 'anarec1a', 'ana trigger', 'anor3×14', 'tw ana vent']",0,6,memesforstarvingbitches:
anor3×14,skinnydiariesxo,https://www.tumblr.com/blog/view/skinnydiariesxo/703760618352689152,3612,"['tw ana shit', 'anotexic', 'anorex14', 'anor3×14', 'ana trigger', 'skinnyspo', 'skinnyyy', 'thinsp0', 'thin', '4n4r3x1a', 'tw disordered eating', 'ed not ed sheeran']",0,8,lipst-1-ckstainedcigs:i just want to be skinny & mysterious 🙄🙄
anor3×14,skinnydiariesxo,https://www.tumblr.com/blog/view/skinnydiariesxo/701188686639923200,4639,"['tw ana shit', 'skinyyyy', 'anor3×14', 'ana stuff', 'anarec1a', 'anorex14', 'ana trigger']",0,10,holywaif:
anor3×14,ellaa2000,https://www.tumblr.com/blog/view/ellaa2000/707485033615736832,9,"['eating disoder trigger warning', 'anorex14', 'anor3x14', 'eating diary', ""it's not as simple as just eating"", 'tw edd', 'anor3×14', 'ed not ed sheeran', 'ed bllog']",0,1,skinny4lifesblog:Memes cause I can’t sleep 
anor3×14,ellaa2000,https://www.tumblr.com/blog/view/ellaa2000/707381766971965440,168,"['3dblr', 'me4nsp0', 'm3ansp0', 'tw ed diet', ""it's not as simple as just eating"", 'tw edd', 'anor3×14', 'ed not ed sheeran', 'edd blog']",0,7,"edenmagaziine:how many times have you already started over? you would be skinny by now if you hadn’t given up. 
i think about this every damn day ￼"
